UniprotKB,r,theta,DC,CC,BC,EC,idr,nucleus,cytoplasm,endomembrane,multi
A0A0B4J2D5,18.06549687,2.377869969,24,1.99E-05,6448.841495,0.00698533,0,0,0,0,0
O14561,17.53447109,2.70699955,37,2.04E-05,6133.730028,0.0121529,0,0,0,0,1
O75306,17.08157151,2.351134298,51,2.31E-05,13437.28712,0.04415957,0,0,1,0,0
O75390,14.59048143,1.983556519,190,2.26E-05,155244.3621,0.06113381,0,0,1,0,0
O94925,17.33127529,2.354320589,43,2.19E-05,37038.34244,0.02032898,1,0,1,0,0
P08559,15.75789827,2.275818451,107,2.26E-05,48404.79634,0.05263814,0,0,1,0,0
P13073,15.32704231,2.760877103,134,2.34E-05,118396.9779,0.05423044,0,0,1,0,0
P20674,17.47076148,2.36951816,39,2.24E-05,13538.94827,0.02767008,0,0,0,0,0
P29084,15.78090134,4.993401055,105,2.31E-05,83893.38565,0.04887324,0,0,0,0,1
P30038,18.80715148,2.369856329,7,1.89E-05,339.1437704,0.00259873,1,0,1,0,0
P34897,16.29785055,1.977380196,80,2.34E-05,81735.53387,0.0641875,0,0,1,0,0
P48735,18.67283006,3.249597589,10,2.04E-05,2257.502183,0.00531698,0,0,1,0,0
Q07021,13.87333178,3.692121501,240,2.49E-05,475655.26,0.19146766,0,0,0,0,1
Q10713,16.59610778,2.369880441,69,2.16E-05,57437.9826,0.01843471,0,0,1,0,0
Q13011,16.61900519,2.375466665,68,2.21E-05,53993.33949,0.02347723,0,0,1,0,0
Q15118,16.8047068,2.743052696,61,2.17E-05,36137.14232,0.01651978,0,0,0,0,0
Q16836,18.76033769,2.377952526,8,1.93E-05,1072.231032,0.00275239,0,0,1,0,0
Q5JTZ9,17.31998734,2.73929981,44,2.19E-05,21651.50415,0.01876393,0,0,1,0,0
Q9BX68,18.22056236,1.983738705,20,1.99E-05,1436.344755,0.00705721,0,0,1,0,0
Q9H2U2,18.13190288,2.34609797,22,2.06E-05,8203.493262,0.01094902,0,0,1,0,0
Q9NWU5,17.93650871,2.718593416,27,2.03E-05,3086.734094,0.01743111,0,0,1,0,0
Q9Y2S7,17.34288313,2.377421557,43,2.20E-05,12346.69266,0.0263426,0,0,1,0,0
Q9Y696,18.79745144,2.377843889,7,1.68E-05,1500.426015,0.00051829,1,0,0,0,1
Q96DP5,18.92855702,2.378120992,5,1.62E-05,44.59773156,0.00032681,0,0,0,0,1
P11182,17.4648738,2.757699894,39,2.07E-05,33601.64449,0.01492661,0,0,1,0,0
Q8N5V2,18.44915897,0.231687063,15,1.96E-05,16901.03871,0.00422961,0,0,0,0,1
A0AV96,18.54129538,5.856040843,13,1.95E-05,258.5489265,0.00799961,0,0,0,0,1
O00425,16.35110477,5.696042094,78,2.32E-05,27681.06057,0.11557467,0,0,1,0,0
O00443,17.21483687,0.153675035,47,2.27E-05,12059.81161,0.04278579,0,0,0,0,1
P42694,17.83075239,5.693486188,30,2.24E-05,13439.70458,0.02618175,0,0,0,0,1
Q13315,15.77467929,3.27150176,106,2.35E-05,103284.7092,0.07032724,0,0,0,0,1
Q14671,17.97462218,6.122161922,26,2.09E-05,3680.966559,0.01944407,0,0,0,0,1
Q15717,15.48538634,5.465236271,123,2.42E-05,73888.3119,0.16425799,1,0,0,0,1
Q6P1W5,17.38377618,1.942395856,42,2.13E-05,26700.75913,0.01250788,0,0,0,0,1
Q8TB72,18.30949078,1.182654291,18,2.14E-05,12199.35032,0.01589938,0,0,1,0,0
Q92900,15.44877219,5.850712358,125,2.39E-05,67808.26292,0.15883741,1,0,0,0,1
Q99700,17.05185538,5.887080527,53,2.29E-05,24083.54271,0.05111421,0,0,1,0,0
Q9NZB2,16.9738406,6.072720264,55,2.27E-05,22530.42568,0.06878676,0,0,1,0,0
Q9Y6M1,17.36222978,5.857700826,42,2.22E-05,3766.525958,0.06850969,0,0,1,0,0
Q71RC2,18.22131009,5.855539847,20,2.19E-05,1613.420366,0.03580674,0,0,0,0,1
A0AVF1,18.33953631,4.038443943,17,1.80E-05,489.9391899,0.00120015,0,0,0,0,0
P08151,17.58291847,4.929474518,36,2.16E-05,15586.20676,0.0251347,0,0,0,0,1
P52790,18.42452693,1.659737174,15,1.91E-05,5634.239062,0.00222495,0,0,0,0,0
Q13099,18.1697568,4.038300683,21,1.95E-05,3051.65265,0.00417552,0,0,0,0,0
Q86VQ0,16.70492369,3.467829329,65,2.21E-05,37112.17155,0.03489266,0,0,1,0,0
Q86WT1,18.05981665,4.038345182,24,1.92E-05,1592.229991,0.00332895,0,0,0,0,0
Q8IY31,17.55772716,4.038431005,37,2.06E-05,13454.48948,0.00729803,0,0,1,0,0
Q8N4P2,17.34642824,4.038561897,43,2.05E-05,18535.01302,0.00888744,0,0,0,0,0
Q8WYA0,17.71822047,4.038404197,32,1.99E-05,6108.122583,0.00450704,0,0,1,0,0
Q96LB3,17.58816152,4.038329953,36,2.05E-05,11274.93004,0.00750652,0,0,0,0,0
Q9BW83,18.29186425,4.038299099,19,1.86E-05,603.7833497,0.00178977,0,0,0,0,0
Q9H7X7,18.17211323,4.038324156,21,1.87E-05,1241.689769,0.00201971,0,0,1,0,0
Q9NQC8,18.17172087,4.038391178,21,1.88E-05,1499.788345,0.00209416,0,0,1,0,0
Q9NWB7,17.11822633,4.038515738,50,2.07E-05,14975.1898,0.00844558,0,0,0,1,0
Q9P2H3,18.29308374,4.038396577,19,1.86E-05,506.4015521,0.00255984,0,0,0,0,0
Q9UG01,17.90434037,4.038339188,28,2.02E-05,9407.77694,0.00761412,0,0,0,0,0
Q9Y366,18.16916683,4.03840701,21,1.88E-05,2527.744147,0.00236843,0,0,1,0,0
Q9Y547,18.46368577,4.038198504,14,1.91E-05,1419.805033,0.0026799,0,0,0,0,0
P04439,16.83076837,2.588686382,60,2.26E-05,77118.16821,0.02509823,0,0,0,1,0
Q9BUN8,17.40194725,2.555991723,41,2.17E-05,20480.76701,0.01889974,0,0,0,1,0
A0AVK6,19.01644333,4.97382252,3,1.88E-05,174.8103709,0.00343002,0,0,0,0,1
P51957,11.92450656,5.706182305,520,2.62E-05,2100909.634,0.34818754,0,0,1,0,0
Q6PID6,18.28872166,4.115281124,19,2.08E-05,8544.0089,0.01263667,0,0,0,0,1
Q96AV8,18.83417614,4.97390911,7,1.93E-05,541.1406867,0.00364731,0,1,0,0,0
A0AVT1,17.35435975,3.72062115,42,2.08E-05,16920.96968,0.01207264,0,0,0,0,1
O14933,18.22336351,3.745026771,20,2.00E-05,4374.332946,0.00633547,0,0,1,0,0
O15198,16.90448096,2.877827715,58,2.20E-05,40279.54606,0.02244303,0,0,0,0,1
O15205,17.25143456,5.340165179,46,2.21E-05,10516.44902,0.05320183,0,1,0,0,0
O43865,17.09014854,1.041832856,51,2.24E-05,66887.51074,0.02720587,0,0,1,0,0
O60936,17.94045902,3.734789451,27,2.02E-05,5674.248334,0.0072829,0,0,0,0,1
O95221,18.83213054,3.017665734,7,1.65E-05,885.2784033,0.00024662,0,0,0,0,0
O95302,17.63149998,3.733327397,35,2.10E-05,14559.23722,0.01218017,0,0,0,0,1
O95747,17.76027736,4.554636139,31,2.17E-05,12859.58582,0.02362412,0,0,1,0,0
P06865,17.76204144,3.733556102,31,2.10E-05,5175.970508,0.01531888,0,0,0,0,1
P11216,17.77430492,3.720513618,31,2.14E-05,24855.43952,0.01796335,0,0,1,0,0
P15374,18.30502672,4.784846539,18,2.08E-05,3164.185217,0.01585013,1,0,0,0,1
P17812,17.50727751,5.547931002,38,2.29E-05,16258.12934,0.07073495,0,0,1,0,0
P25791,16.03719095,3.221122361,92,2.17E-05,87733.38277,0.02594229,0,1,0,0,0
P38919,14.98867421,0.448752532,159,2.39E-05,56032.09947,0.21797646,1,1,0,0,0
P42331,18.27764537,3.379309333,19,1.96E-05,2366.2277,0.00449786,0,0,0,0,1
P43353,18.21719075,3.108763971,20,2.00E-05,6914.506652,0.00401881,0,0,0,0,0
P46926,17.99420767,3.738037223,26,2.02E-05,22214.56827,0.00892594,0,0,0,1,0
P51114,16.3709546,5.093158643,78,2.33E-05,39973.94044,0.07326359,0,0,1,0,0
P53609,18.62914311,3.224123791,11,1.91E-05,793.738434,0.00232235,0,0,0,0,1
P54725,16.88724407,3.787925664,58,2.22E-05,21370.76951,0.04250027,1,0,0,0,1
P54727,16.80771935,3.78774106,61,2.30E-05,28145.02112,0.04620616,0,0,0,0,1
P62837,15.95351689,3.83911681,95,2.24E-05,75770.67722,0.03306592,0,0,0,0,1
Q00341,17.05951308,3.722595829,52,2.34E-05,47220.81167,0.06515803,0,0,0,0,1
Q06787,16.28911466,4.770800019,81,2.32E-05,38932.55254,0.06781822,1,0,1,0,0
Q53GL0,17.45100164,5.731164766,40,2.13E-05,5325.379206,0.03352689,0,0,1,0,0
Q6IBS0,17.11711801,0.174835656,50,2.17E-05,14783.02491,0.02838881,0,0,0,1,0
Q71UI9,17.91019624,3.733463753,28,2.28E-05,15906.79822,0.04724896,1,0,0,0,0
Q86UV5,17.34819616,0.585179949,43,2.22E-05,21401.62991,0.03501816,0,0,0,0,1
Q8N543,17.7681917,3.720511766,31,2.10E-05,4726.762813,0.01411548,0,0,0,0,1
Q8WUD1,17.87111929,2.053249643,29,2.07E-05,14755.36253,0.0062078,0,0,0,0,0
Q8WUM4,17.06536455,4.423128432,52,2.33E-05,38665.9253,0.04668308,0,0,0,0,1
Q8WVK2,15.72348045,0.396537112,109,2.24E-05,70657.39516,0.03587911,0,1,0,0,0
Q8WY64,18.51393354,3.538998428,13,1.96E-05,2821.097663,0.00339664,0,0,0,0,0
Q96Q11,18.36044244,3.721211299,17,1.97E-05,1161.257133,0.00461262,1,0,1,0,0
Q96QD9,17.17530086,6.061150578,48,2.24E-05,21121.80798,0.04263541,0,1,0,0,0
Q9H4M9,17.17582431,2.954721842,48,2.22E-05,31639.53281,0.0265209,0,0,0,1,0
Q9H832,18.95728879,2.04362166,4,1.83E-05,85.70008669,0.00177648,1,0,0,0,1
Q9NQW7,17.64279518,3.733536482,34,2.12E-05,6992.777246,0.01440814,0,0,1,0,0
Q9UGP4,17.47037003,3.217522252,39,2.12E-05,35421.87674,0.01374027,0,0,0,0,1
Q9Y5Y2,18.27870548,3.733098274,19,2.08E-05,5260.318318,0.00755346,0,0,0,0,1
Q9Y6Q1,18.47466449,0.272793776,14,2.01E-05,16932.24499,0.00816283,0,0,0,0,1
A0FGR8,18.31051817,2.880420498,18,2.24E-05,12178.59706,0.02136395,0,0,0,0,1
P01111,14.71005812,2.930475441,180,2.38E-05,212596.261,0.04789982,1,0,0,0,1
P01116,12.71654571,2.954581727,415,2.51E-05,1011171.67,0.11394137,1,0,1,0,0
P02751,12.304906,5.627622011,471,2.67E-05,1237545.216,0.35230007,0,0,0,0,0
P03372,9.490095119,5.516226223,1857,3.04E-05,11274741.65,1,1,0,0,0,1
P13569,12.47937327,5.66044654,449,2.65E-05,1013512.059,0.3436414,1,0,0,0,0
P62745,13.28468356,3.044502637,308,2.41E-05,474603.7566,0.08050141,0,0,0,0,0
Q00765,16.46897684,2.128460259,74,2.14E-05,85332.32105,0.01104075,0,0,0,1,0
Q13286,17.46448008,2.311099817,39,2.08E-05,5029.427534,0.01696837,0,0,0,0,0
Q14653,16.98084001,4.652667427,55,2.18E-05,33219.90236,0.02485702,1,0,1,0,0
Q8IWL3,11.12404224,1.857698687,681,2.59E-05,2579368.033,0.14468474,0,0,0,0,1
Q8TD08,18.4775722,3.206613979,14,2.03E-05,2860.471458,0.01054793,0,0,0,0,1
Q96RR4,17.92281107,3.88815366,27,2.08E-05,5565.3634,0.01564793,0,0,1,0,0
Q99442,17.25579697,2.155101196,46,2.09E-05,24376.11854,0.00794864,0,0,0,0,1
Q9BSJ8,18.0639707,2.883449208,24,2.26E-05,38395.48275,0.02971151,0,0,0,1,0
Q9H1X3,18.64082968,6.096643483,11,1.93E-05,468.9385111,0.00403763,0,0,0,0,1
Q9UMX0,15.73652425,2.880385764,108,2.36E-05,270867.4757,0.04701276,0,0,0,0,1
A0JLT2,17.07002157,5.037295367,52,2.18E-05,3494.322237,0.0291693,0,1,0,0,0
O00472,18.17856535,1.204436006,21,1.99E-05,1956.494342,0.00668859,0,1,0,0,0
O15514,17.30489243,5.038736538,44,2.18E-05,7586.497791,0.02696991,0,1,0,0,0
O43513,17.38590588,5.025499432,42,2.17E-05,19916.73556,0.02291021,0,1,0,0,0
