cooperative	common	V1	V2	degree_common	degree_V1	degree_V2	score_competitive	score_cooperative	paralog	quantile	thetad_V1_V2
0	Q96D31	O75185	Q13507	7	2	10	0.004	0.996	no	4	0.000361162
0	Q96D31	Q9BRQ5	Q13507	7	1	10	0.004	0.996	no	4	0.000339668
0	Q8N961	Q9BV47	P04053	9	5	8	0.004	0.996	no	4	0.000047455
0	Q16878	Q96CX6	Q9P2R6	9	4	9	0.006	0.994	no	4	0.000188754
0	O00763	Q08116	P50747	6	1	9	0.008	0.992	no	4	0.000025456
0	Q9H706	P20827	Q6S5L8	5	5	10	0.01	0.99	no	4	0.000150228
0	P52895	P17516	Q6P2D0	7	3	9	0.012	0.988	no	4	0.00005898
0	P01569	P01571	P05014	10	6	9	0.012	0.988	yes	4	0.000042816
0	P01571	Q9NXT0	P01569	6	2	10	0.012	0.988	no	4	0.000003921
0	O95969	Q96QP1	P51449	9	2	9	0.014	0.986	no	4	0.000111215
0	P52895	P42330	Q6P2D0	7	6	9	0.014	0.986	no	4	0.000064406
0	P52895	Q04828	Q6P2D0	7	7	9	0.014	0.986	no	4	0.000013391
0	P01569	P01571	P01570	10	6	8	0.014	0.986	yes	4	0.00001624
0	P15259	Q8N0Y7	P07738	6	1	9	0.014	0.986	yes	4	0.000169846
0	Q9H4D5	Q9UKK6	Q9NPJ8	3	8	10	0.014	0.986	yes	4	0.002010249
0	P01241	P09960	P0DML3	7	6	9	0.016	0.984	no	4	0.000553912
0	P01569	P01571	P01563	10	6	10	0.016	0.984	yes	4	0.012475655
0	P01569	P05013	P01563	10	4	10	0.016	0.984	yes	4	0.012532751
0	P01569	P01570	P05014	10	8	9	0.016	0.984	yes	4	0.000059056
0	Q9Y6X0	Q9BXN6	Q9NS26	7	1	4	0.016	0.984	yes	4	0.000054504
0	A6NIH7	P11488	P19087	9	4	9	0.018	0.982	yes	4	0.000060167
0	P52943	Q3I5F7	Q8WTP8	6	2	9	0.018	0.982	no	4	0.000139031
0	P05014	P01569	P32881	9	10	8	0.018	0.982	yes	4	0.000006043
0	P01374	Q06643	P07911	8	2	1	0.018	0.982	no	4	0.000072013
0	Q8WZ73	A8K855	Q6IPM2	9	7	8	0.018	0.982	no	4	0.000253041
0	Q969V6	Q8IZQ8	Q9ULH7	9	4	7	0.018	0.982	yes	4	0.000118043
0	O00590	P80075	Q16627	6	2	8	0.02	0.98	yes	4	0.000168015
0	Q96QV1	Q15465	O43323	5	2	9	0.02	0.98	yes	4	0.000278173
0	Q05469	Q0Z7S8	P15090	8	1	8	0.02	0.98	yes	4	0.000128416
0	O75971	O94818	Q5SXM2	7	7	9	0.02	0.98	no	4	0.00038213
0	P05014	P32881	P01563	9	8	10	0.02	0.98	yes	4	0.012507747
0	P13498	Q15080	P04839	10	4	3	0.02	0.98	no	4	0.000148934
0	Q13507	Q96D31	Q9UBN4	10	7	10	0.02	0.98	no	4	0.000357075
0	Q6PF05	Q6IPM2	A8K855	4	8	7	0.02	0.98	no	4	0.000253041
0	Q14123	P54750	Q01064	3	1	2	0.02	0.98	yes	4	0.000011839
0	P10747	P33681	P42081	8	5	2	0.022	0.978	yes	4	0.000139022
0	P10747	P33681	Q53EV4	8	5	2	0.022	0.978	no	4	0.000053428
0	O00590	Q99616	Q16627	6	2	8	0.022	0.978	yes	4	0.000059861
0	O14795	Q96HU8	Q14183	10	5	9	0.022	0.978	no	4	0.00016569
0	O15218	Q96IK0	Q8N2K0	9	4	10	0.022	0.978	no	4	0.006570892
0	Q5D1E8	Q9NZD4	A2A288	9	2	1	0.022	0.978	no	4	0.000049337
0	Q96QV1	Q14623	O43323	5	3	9	0.022	0.978	yes	4	0.000171431
0	Q8IXL6	P05814	Q8NBP7	10	6	4	0.022	0.978	no	4	0.000130326
0	Q8IXL6	Q96MK3	Q8NBP7	10	1	4	0.022	0.978	no	4	0.000065819
0	Q05469	P49675	P15090	8	3	8	0.022	0.978	no	4	0.000178708
0	O60870	Q15111	Q9BUU2	4	2	2	0.022	0.978	no	4	0.000039897
0	Q04828	Q07654	P42330	7	3	6	0.022	0.978	no	4	0.000042022
0	Q15173	Q16589	P46695	10	5	8	0.022	0.978	no	4	0.009784821
0	P51911	Q9ULK6	Q96EZ4	8	1	2	0.022	0.978	no	4	0.000063529
0	P19237	Q9P0L9	P63316	7	2	7	0.022	0.978	no	4	0.0001849
0	Q9NYR9	Q3B7J2	Q6GYQ0	10	3	9	0.022	0.978	no	4	0.000460406
0	Q9HAY2	Q96D98	Q8N6I1	5	4	10	0.022	0.978	yes	4	0.000158864
0	O95969	A1A4V9	Q96QP1	9	1	2	0.024	0.976	no	4	0.000070489
0	O00187	P0C0L5	P11226	9	3	10	0.024	0.976	no	4	0.00068597
0	P10747	Q53EV4	P42081	8	2	2	0.024	0.976	no	4	0.000085594
0	P04155	Q9NYZ4	Q92508	8	1	10	0.024	0.976	no	4	0.000079458
0	Q86UL8	P08588	O75783	10	8	4	0.024	0.976	no	4	0.000086783
0	P46092	O43927	O00585	6	2	10	0.024	0.976	no	4	0.000378919
0	P46092	Q9Y4X3	O00585	6	2	10	0.024	0.976	no	4	0.000076276
0	Q13323	Q16548	Q9HD36	8	10	10	0.024	0.976	yes	4	0.000668778
0	P09105	Q8TAC1	P02042	3	1	8	0.024	0.976	no	4	0.00002041
0	P51157	A2RUR9	Q8NEH6	5	1	7	0.024	0.976	no	4	0.000018902
0	O60870	Q9BUU2	Q8WTQ4	4	2	1	0.024	0.976	no	4	0.000019709
