Triplet_ID,PDB_ID,Common,V1,V2,region_common_V1,region_common_V2
1,6ted,O00267,P63272,Q92541,O00267:Z(176-781) | P63272:Y(2-117),O00267:Z(176-781) | Q92541:R(353-600)
2,6mzm,O00268,Q12962,P52657,O00268:D(870-1007) | Q12962:O(113-208),O00268:D(870-1007) | P52657:X(3-99)
3,4hdq,O00522,P61224,Q9ULI3,O00522:A(419-729) | P61224:B(1-167),O00522:A(419-729) | Q9ULI3:C(1377-1381)
4,4gqb,O14744,Q9BQA1,P62805,O14744:A(13-637) | Q9BQA1:B(21-329),O14744:A(13-637) | P62805:C(2-9)
5,7ae1,O14802,O75575,Q9BUI4,O14802:A(3-1390) | O75575:D(1-124),O14802:A(3-1390) | Q9BUI4:O(2-534)
5,7d58,O14802,O75575,Q9BUI4,O14802:A(2-1388) | O75575:D(1-126),O14802:A(2-1388) | Q9BUI4:O(1-534)
5,7d59,O14802,O75575,Q9BUI4,O14802:A(2-1387) | O75575:D(1-126),O14802:A(2-1387) | Q9BUI4:O(1-534)
5,7ae3,O14802,O75575,Q9BUI4,O14802:A(3-1390) | O75575:D(1-124),O14802:A(3-1390) | Q9BUI4:O(2-534)
5,7a6h,O14802,O75575,Q9BUI4,O14802:A(3-1390) | O75575:D(1-124),O14802:A(3-1390) | Q9BUI4:O(2-534)
5,7du2,O14802,O75575,Q9BUI4,O14802:A(4-1376) | O75575:D(1-122),O14802:A(4-1376) | Q9BUI4:O(2-534)
5,7aea,O14802,O75575,Q9BUI4,O14802:A(3-1390) | O75575:D(1-124),O14802:A(3-1390) | Q9BUI4:O(2-534)
5,7dn3,O14802,O75575,Q9BUI4,O14802:A(4-1376) | O75575:D(1-122),O14802:A(4-1376) | Q9BUI4:O(2-534)
6,6kwy,O14818,Q14997,P28074,O14818:C(19-238) | Q14997:c(24-1843),O14818:Q(2-240) | P28074:Y(60-258)
6,6kwy,O14818,Q14997,P28074,O14818:C(19-238) | Q14997:c(24-1843),O14818:C(19-238) | P28074:K(60-260)
6,6rey,O14818,Q14997,P28074,O14818:R(17-234) | Q14997:d(26-1843),O14818:R(17-234) | P28074:Z(60-259)
6,6rey,O14818,Q14997,P28074,O14818:R(17-234) | Q14997:d(26-1843),O14818:D(17-234) | P28074:L(60-259)
6,6rey,O14818,Q14997,P28074,O14818:D(17-234) | Q14997:c(26-1843),O14818:R(17-234) | P28074:Z(60-259)
6,6rey,O14818,Q14997,P28074,O14818:D(17-234) | Q14997:c(26-1843),O14818:D(17-234) | P28074:L(60-259)
7,5xte,O14949,P07919,P47985,O14949:N(2-82) | P07919:R(18-91),O14949:N(2-82) | P47985:P(79-274)
7,5xte,O14949,P07919,P47985,O14949:N(2-82) | P07919:R(18-91),O14949:A(2-82) | P47985:C(79-274)
7,5xte,O14949,P07919,P47985,O14949:A(2-82) | P07919:E(18-91),O14949:N(2-82) | P47985:P(79-274)
7,5xte,O14949,P07919,P47985,O14949:A(2-82) | P07919:E(18-91),O14949:A(2-82) | P47985:C(79-274)
8,5dis,O14980,P35658,O95149,O14980:A(5-1048) | P35658:D(1916-2027),O14980:A(5-1048) | O95149:C(1-287)
9,7ae1,O15160,P0DPB6,P53803,O15160:C(2-344) | P0DPB6:K(24-130),O15160:C(2-344) | P53803:L(13-58)
9,7d58,O15160,P0DPB6,P53803,O15160:C(2-346) | P0DPB6:K(24-130),O15160:C(2-346) | P53803:L(12-58)
9,7d59,O15160,P0DPB6,P53803,O15160:C(2-346) | P0DPB6:K(24-130),O15160:C(2-346) | P53803:L(12-58)
9,7ae3,O15160,P0DPB6,P53803,O15160:C(2-344) | P0DPB6:K(24-130),O15160:C(2-344) | P53803:L(13-58)
9,7a6h,O15160,P0DPB6,P53803,O15160:C(2-344) | P0DPB6:K(24-130),O15160:C(2-344) | P53803:L(13-58)
9,7du2,O15160,P0DPB6,P53803,O15160:C(7-343) | P0DPB6:K(24-126),O15160:C(7-343) | P53803:L(15-58)
9,7aea,O15160,P0DPB6,P53803,O15160:C(2-344) | P0DPB6:K(24-130),O15160:C(2-344) | P53803:L(13-58)
9,7dn3,O15160,P0DPB6,P53803,O15160:C(7-343) | P0DPB6:K(24-126),O15160:C(7-343) | P53803:L(15-58)
9,7ast,O15160,P0DPB6,P53803,O15160:H(10-338) | P0DPB6:G(21-120),O15160:H(10-338) | P53803:C(13-58)
10,6ybd,O15371,P42677,P60228,O15371:x(21-88) | P42677:H(2-82),O15371:x(21-88) | P60228:v(33-422)
11,6eny,O15533,P27797,P04439,O15533:C(21-401) | P27797:G(18-386),O15533:C(21-401) | P04439:F(25-298)
12,6cnm,O15554,P0DP24,P0DP23,O15554:D(10-386) | P0DP24:H(82-147),O15554:C(10-386) | P0DP23:G(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:D(10-386) | P0DP24:H(82-147),O15554:B(10-386) | P0DP23:F(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:D(10-386) | P0DP24:H(82-147),O15554:A(10-386) | P0DP23:E(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:D(10-386) | P0DP24:H(82-147),O15554:D(10-386) | P0DP23:H(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:A(10-386) | P0DP24:E(82-147),O15554:C(10-386) | P0DP23:G(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:A(10-386) | P0DP24:E(82-147),O15554:B(10-386) | P0DP23:F(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:A(10-386) | P0DP24:E(82-147),O15554:A(10-386) | P0DP23:E(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:A(10-386) | P0DP24:E(82-147),O15554:D(10-386) | P0DP23:H(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:C(10-386) | P0DP24:G(82-147),O15554:C(10-386) | P0DP23:G(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:C(10-386) | P0DP24:G(82-147),O15554:B(10-386) | P0DP23:F(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:C(10-386) | P0DP24:G(82-147),O15554:A(10-386) | P0DP23:E(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:C(10-386) | P0DP24:G(82-147),O15554:D(10-386) | P0DP23:H(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:B(10-386) | P0DP24:F(82-147),O15554:C(10-386) | P0DP23:G(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:B(10-386) | P0DP24:F(82-147),O15554:B(10-386) | P0DP23:F(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:B(10-386) | P0DP24:F(82-147),O15554:A(10-386) | P0DP23:E(82-147)
12,6cnm,O15554,P0DP24,P0DP23,O15554:B(10-386) | P0DP24:F(82-147),O15554:D(10-386) | P0DP23:H(82-147)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:F(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:E(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:G(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:F(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:G(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:B(9-386) | P0DP24:H(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:E(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:D(9-386) | P0DP24:H(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:G(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:F(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:A(9-386) | P0DP24:H(3-148),O15554:D(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:A(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:A(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:C(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:A(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:B(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:D(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:B(9-386) | P0DP23:H(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:D(9-386) | P0DP23:G(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:C(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:B(9-386) | P0DP23:F(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:C(9-386) | P0DP23:E(3-148)
12,6cnn,O15554,P0DP24,P0DP23,O15554:C(9-386) | P0DP24:E(3-148),O15554:D(9-386) | P0DP23:F(3-148)
