cooperative,common,V1,V2,thetad_V1_V2,degree_common,degree_V1,degree_V2,score,quantile,paralog,common_length,V1_length,V2_length,average_V1_V2
0,P78508,Q15049,Q6PL24,1.803640029,10,3,7,0.612,4,no,379,377,325,351
0,Q5T8I9,Q9H903,Q9BY49,0.68516748,8,6,10,0.6,4,no,393,347,303,325
0,P78508,Q96SZ5,Q15049,0.435877429,10,6,3,0.598,4,no,379,270,377,323.5
0,Q9Y6W8,P08582,O75144,1.023129705,6,4,8,0.592,4,no,199,738,302,520
0,Q96SZ5,P78508,Q96PJ5,3.14764571,6,10,5,0.572,4,no,270,379,515,447
0,Q9BZL1,Q9HAZ1,Q9UJW9,5.179491537,8,9,6,0.57,4,no,73,481,196,338.5
0,Q9Y2W6,Q96J94,Q8NCN2,5.248288349,7,4,10,0.57,4,no,561,861,500,680.5
0,Q7Z6M4,P51460,Q9BWT6,5.182556194,8,9,7,0.568,4,no,381,131,205,168
0,Q9Y3S1,Q8NBI5,Q9UH77,1.892857264,5,5,8,0.568,4,no,2297,491,587,539
0,Q52MB2,O95872,P30039,0.795617707,8,10,7,0.564,4,no,194,356,288,322
0,O00338,O75897,P50225,3.113824942,9,3,8,0.562,4,yes,296,302,295,298.5
0,O00488,Q8N884,Q8IWA6,5.8760202,10,5,6,0.562,4,no,134,522,550,536
0,P78508,Q15049,Q9NPI9,3.688051695,10,3,1,0.562,4,no,379,377,418,397.5
0,Q86VW2,P47870,Q9BZR6,1.291684109,8,5,9,0.56,4,no,580,512,473,492.5
0,P60369,Q13875,P07510,0.584326169,9,5,8,0.558,4,no,221,183,517,350
0,Q99972,Q96PB7,P10916,3.765336305,7,8,10,0.556,4,no,504,478,166,322
0,P08637,P02743,P28907,3.066936875,10,10,6,0.554,4,no,254,223,300,261.5
0,Q9UHX3,P08174,Q03591,3.104388031,3,5,8,0.554,4,yes,823,381,330,355.5
0,Q49AR2,P13725,P60002,5.248742331,5,9,3,0.554,4,no,442,252,83,167.5
0,P62760,Q96AQ9,P43681,4.097881164,10,7,3,0.552,4,no,191,280,627,453.5
0,Q96F85,O75594,Q8NBC4,5.520914218,9,2,1,0.55,4,no,164,196,194,195
0,P10109,P05108,Q6P4F2,2.675365098,6,4,2,0.55,4,no,184,521,183,352
0,P78508,Q96SZ5,Q6PL24,1.3677626,10,6,7,0.55,4,no,379,270,325,297.5
0,P47870,Q86VW2,P14867,4.307372661,5,8,5,0.548,4,no,512,580,456,518
0,Q9Y5R4,P15882,Q9UGC7,2.303414094,5,10,9,0.546,4,no,338,459,380,419.5
0,P01374,P05162,Q06643,3.958926534,8,3,2,0.546,4,no,205,132,244,188
0,P01571,Q8IVU9,P01569,4.642595163,6,3,10,0.546,4,no,189,208,189,198.5
0,Q9Y4K4,Q96T59,Q8N9N8,3.647129328,9,6,8,0.546,4,no,846,188,165,176.5
0,Q53T59,Q8N961,P58335,5.155232551,7,9,4,0.546,4,no,392,1025,489,757
0,Q9NPJ8,Q7Z6K3,Q9H4D5,3.759738117,10,7,3,0.546,4,no,142,402,531,466.5
0,Q7Z7A4,Q7Z403,Q86T13,1.673896966,10,5,5,0.544,4,no,578,805,490,647.5
0,O00230,P32745,P35346,3.510554597,6,3,7,0.542,4,yes,105,418,364,391
0,P07225,P04003,P04070,2.55940037,9,7,10,0.542,4,no,676,597,461,529
0,P13725,Q49AR2,Q9HCF6,5.248636393,9,5,5,0.542,4,no,252,442,1732,1087
0,Q96AQ9,P62760,Q9UM19,3.549256503,7,10,8,0.542,4,yes,280,191,191,191
0,O95977,Q00169,Q9ULP9,3.299151233,4,9,10,0.54,4,no,384,270,559,414.5
0,P20393,Q14995,P49441,4.548495271,9,10,4,0.54,4,no,614,579,399,489
0,P21728,P35462,Q92847,1.933631706,7,10,3,0.54,4,no,446,400,366,383
0,Q96A70,Q9NZC9,O95190,1.931653319,10,8,4,0.54,4,no,460,954,189,571.5
0,P10646,P35030,P00742,3.606649773,4,6,7,0.54,4,no,304,304,488,396
0,P60369,Q9BR84,P07510,0.582709784,9,4,8,0.538,4,no,221,538,517,527.5
0,O75594,Q96F85,P01563,5.520931662,2,9,10,0.538,4,no,196,164,188,176
0,Q7Z3Y8,O95995,Q4LEZ3,3.026119606,8,3,1,0.538,4,no,459,478,155,316.5
0,P50747,Q96BZ9,Q7Z402,1.292239124,9,3,5,0.536,4,no,726,403,723,563
0,Q96S06,O95157,P26012,2.272056153,4,7,10,0.536,4,no,567,252,769,510.5
0,P01374,P05162,P07911,3.958998547,8,3,1,0.536,4,no,205,132,640,386
0,Q8IVA1,Q9H6F2,P37058,4.038447411,7,6,7,0.536,4,no,136,299,310,304.5
0,Q9BVM4,Q9P218,Q96KN8,2.867579594,2,8,3,0.536,4,no,153,1284,279,781.5
0,Q96GW9,Q8N3J3,Q92947,2.602146449,10,6,8,0.534,4,no,593,647,438,542.5
0,P02743,P08637,P04003,4.114302239,10,10,7,0.532,4,no,223,254,597,425.5
0,P47870,Q86VW2,P28472,3.38018313,5,8,7,0.532,4,no,512,580,473,526.5
0,Q92859,Q00169,O95631,2.800490334,8,9,7,0.532,4,no,1461,270,604,437
0,P13725,Q99650,Q9HCF6,3.714280189,9,8,5,0.532,4,no,252,979,1732,1355.5
0,Q6ZMV9,Q9UHY8,P16219,4.769783733,6,8,8,0.532,4,no,814,353,412,382.5
0,Q53T59,Q9Y3Q3,P58335,2.585482313,7,10,4,0.532,4,no,392,217,489,353
0,P07225,P04003,P12259,2.412647831,9,7,8,0.53,4,no,676,597,2224,1410.5
0,Q5T0L3,A2RUC4,Q99685,0.298917065,9,8,6,0.528,4,no,261,315,303,309
0,P48775,O95671,Q68DK2,1.505029465,10,8,7,0.528,4,no,406,621,2539,1580
0,Q9NQ75,O14613,Q7Z6G8,2.48474217,5,7,6,0.528,4,no,786,210,1248,729
0,Q96HQ2,Q96JA3,Q6PGN9,3.959725992,9,7,9,0.528,4,no,116,519,363,441
0,Q92859,Q00169,Q6ZVN8,2.800320243,8,9,3,0.528,4,no,1461,270,426,348
0,P01571,Q8IVU9,Q7Z7J7,4.642619684,6,3,4,0.528,4,no,189,208,247,227.5
0,Q99972,Q96PB7,Q14515,3.748827649,7,8,3,0.528,4,no,504,478,664,571
0,Q13976,Q9UQ03,Q9Y6F6,3.094188337,10,6,3,0.528,4,no,671,480,904,692
0,Q9UPQ7,O15146,Q8NE31,3.500310599,10,7,6,0.526,4,no,1066,869,585,727
0,Q9Y696,O15247,Q96NY7,4.279516219,7,4,2,0.524,4,yes,253,247,704,475.5
0,Q9NPJ8,Q7Z6K3,P57771,3.761732755,10,7,4,0.524,4,no,142,402,180,291
0,Q96FZ7,Q6DKJ4,Q0D2K3,2.411505574,10,7,10,0.524,4,no,201,435,151,293
0,Q5T0L3,P50747,Q99685,3.542790108,9,9,6,0.522,4,no,261,726,303,514.5
